REGION,TECHNOLOGY,FUEL,YEAR,VALUE
"EXAMPLE","DEMPWRGAS","GAS",2019,71.0841450997879
"EXAMPLE","DEMPWRGAS","GAS",2020,71.0841450997879
"EXAMPLE","DEMPWRGAS","GAS",2021,71.0841450997879
"EXAMPLE","DEMPWRGAS","GAS",2022,71.0841450997879
"EXAMPLE","MINHYD","HYD",2019,78904.8473967684
"EXAMPLE","MINHYD","HYD",2020,78904.8473967684
"EXAMPLE","MINHYD","HYD",2021,78904.8473967684
"EXAMPLE","MINHYD","HYD",2022,78904.8473967684
"EXAMPLE","MINSOL","SOL",2019,20.6219011185681
"EXAMPLE","MINSOL","SOL",2020,20.6219011185681
"EXAMPLE","MINSOL","SOL",2021,20.6219011185681
"EXAMPLE","MINSOL","SOL",2022,20.6219011185681
"EXAMPLE","PWRGAS","ELC001",2019,35.5420725498939
"EXAMPLE","PWRGAS","ELC001",2020,35.5420725498939
"EXAMPLE","PWRGAS","ELC001",2021,35.5420725498939
"EXAMPLE","PWRGAS","ELC001",2022,35.5420725498939
"EXAMPLE","PWRHYD","ELC001",2019,43.836026331538
"EXAMPLE","PWRHYD","ELC001",2020,43.836026331538
"EXAMPLE","PWRHYD","ELC001",2021,43.836026331538
"EXAMPLE","PWRHYD","ELC001",2022,43.836026331538
"EXAMPLE","PWRHYD","WAT",2019,78904.8473967684
"EXAMPLE","PWRHYD","WAT",2020,78904.8473967684
"EXAMPLE","PWRHYD","WAT",2021,78904.8473967684
"EXAMPLE","PWRHYD","WAT",2022,78904.8473967684
"EXAMPLE","PWRSOL","ELC002",2019,20.6219011185681
"EXAMPLE","PWRSOL","ELC002",2020,20.6219011185681
"EXAMPLE","PWRSOL","ELC002",2021,20.6219011185681
"EXAMPLE","PWRSOL","ELC002",2022,20.6219011185681
"EXAMPLE","PWRTRN","ELC002",2019,79.3780988814319
"EXAMPLE","PWRTRN","ELC002",2020,79.3780988814319
"EXAMPLE","PWRTRN","ELC002",2021,79.3780988814319
"EXAMPLE","PWRTRN","ELC002",2022,79.3780988814319
